Roll: -90.33, Pitch:  66.95, Yaw: -69.94| 
Roll: -91.03, Pitch:  66.83, Yaw: -70.26| 
Roll: -91.23, Pitch:  66.74, Yaw: -70.02| 
Roll: -91.01, Pitch:  66.78, Yaw: -69.30| 
Roll: -90.89, Pitch:  66.77, Yaw: -68.64| 
Roll: -91.26, Pitch:  66.44, Yaw: -68.46| 
Roll: -92.31, Pitch:  65.93, Yaw: -68.87| 
Roll: -93.27, Pitch:  65.45, Yaw: -69.68| 
Roll: -93.98, Pitch:  65.05, Yaw: -70.65| 
Roll: -94.57, Pitch:  64.63, Yaw: -71.61| 
Roll: -95.11, Pitch:  64.14, Yaw: -72.49| 
Roll: -96.07, Pitch:  63.70, Yaw: -73.73| 
Roll: -96.98, Pitch:  63.41, Yaw: -75.17| 
Roll: -97.49, Pitch:  63.39, Yaw: -76.83| 
Roll: -97.25, Pitch:  63.59, Yaw: -78.23| 
Roll: -96.29, Pitch:  63.96, Yaw: -79.10| 
Roll: -95.00, Pitch:  64.51, Yaw: -79.87| 
Roll: -94.04, Pitch:  65.34, Yaw: -81.28| 
Roll: -93.10, Pitch:  66.44, Yaw: -82.81| 
Roll: -92.45, Pitch:  67.78, Yaw: -84.77| 
Roll: -92.27, Pitch:  69.38, Yaw: -87.33| 
Roll: -93.27, Pitch:  71.04, Yaw: -90.54| 
Roll: -96.42, Pitch:  72.58, Yaw: -95.11| 
Roll: -99.53, Pitch:  73.48, Yaw: -99.42| 
Roll:-103.30, Pitch:  74.17, Yaw:-104.50| 
Roll:-107.09, Pitch:  74.67, Yaw:-109.73| 
Roll:-111.11, Pitch:  75.06, Yaw:-115.37| 
Roll:-115.64, Pitch:  75.28, Yaw:-121.55| 
Roll:-120.55, Pitch:  75.32, Yaw:-128.06| 
Roll:-125.11, Pitch:  75.27, Yaw:-134.14| 
Roll:-129.05, Pitch:  75.17, Yaw:-139.64| 
Roll:-132.65, Pitch:  74.97, Yaw:-144.82| 
Roll:-136.10, Pitch:  74.65, Yaw:-149.83| 
Roll:-138.79, Pitch:  74.34, Yaw:-154.06| 
Roll:-141.05, Pitch:  74.06, Yaw:-157.75| 
Roll:-142.98, Pitch:  73.84, Yaw:-161.05| 
Roll:-144.46, Pitch:  73.69, Yaw:-163.98| 
Roll:-146.00, Pitch:  73.55, Yaw:-166.98| 
Roll:-147.47, Pitch:  73.37, Yaw:-169.98| 
Roll:-148.77, Pitch:  73.25, Yaw:-172.85| 
Roll:-149.80, Pitch:  73.15, Yaw:-175.49| 
Roll:-150.85, Pitch:  73.04, Yaw:-178.24| 
Roll:-151.68, Pitch:  72.91, Yaw: 179.07| 
Roll:-152.56, Pitch:  72.73, Yaw: 176.19| 
Roll:-153.54, Pitch:  72.48, Yaw: 173.10| 
Roll:-154.65, Pitch:  72.21, Yaw: 169.81| 
Roll:-155.78, Pitch:  71.95, Yaw: 166.37| 
Roll:-156.75, Pitch:  71.75, Yaw: 162.86| 
Roll:-157.58, Pitch:  71.60, Yaw: 159.38| 
Roll:-158.21, Pitch:  71.51, Yaw: 156.01| 
Roll:-158.70, Pitch:  71.45, Yaw: 152.66| 
Roll:-159.11, Pitch:  71.45, Yaw: 149.31| 
Roll:-159.50, Pitch:  71.49, Yaw: 145.94| 
Roll:-159.80, Pitch:  71.57, Yaw: 142.59| 
Roll:-159.99, Pitch:  71.68, Yaw: 139.30| 
Roll:-160.10, Pitch:  71.80, Yaw: 136.13| 
Roll:-160.17, Pitch:  71.88, Yaw: 133.02| 
Roll:-160.25, Pitch:  71.90, Yaw: 129.97| 
Roll:-160.37, Pitch:  71.90, Yaw: 126.93| 
Roll:-160.68, Pitch:  71.94, Yaw: 123.86| 
Roll:-161.07, Pitch:  72.01, Yaw: 120.87| 
Roll:-161.65, Pitch:  72.05, Yaw: 117.82| 
Roll:-162.47, Pitch:  72.13, Yaw: 114.70| 
Roll:-163.31, Pitch:  72.24, Yaw: 111.73| 
Roll:-164.10, Pitch:  72.36, Yaw: 108.98| 
Roll:-164.87, Pitch:  72.45, Yaw: 106.38| 
Roll:-165.55, Pitch:  72.48, Yaw: 103.97| 
Roll:-166.27, Pitch:  72.45, Yaw: 101.58| 
Roll:-166.97, Pitch:  72.41, Yaw:  99.30| 
