Roll:  93.22, Pitch:  19.99, Yaw:  39.85| 
Roll:  93.33, Pitch:  20.06, Yaw:  39.85| 
Roll:  93.46, Pitch:  20.13, Yaw:  39.83| 
Roll:  93.54, Pitch:  20.17, Yaw:  39.79| 
Roll:  93.60, Pitch:  20.20, Yaw:  39.77| 
Roll:  93.62, Pitch:  20.23, Yaw:  39.73| 
Roll:  93.64, Pitch:  20.24, Yaw:  39.68| 
Roll:  93.65, Pitch:  20.25, Yaw:  39.65| 
Roll:  93.67, Pitch:  20.26, Yaw:  39.62| 
Roll:  93.71, Pitch:  20.27, Yaw:  39.58| 
Roll:  93.75, Pitch:  20.27, Yaw:  39.56| 
Roll:  93.78, Pitch:  20.27, Yaw:  39.55| 
Roll:  93.80, Pitch:  20.28, Yaw:  39.52| 
Roll:  93.82, Pitch:  20.29, Yaw:  39.50| 
Roll:  93.84, Pitch:  20.30, Yaw:  39.49| 
Roll:  93.85, Pitch:  20.31, Yaw:  39.46| 
Roll:  93.86, Pitch:  20.33, Yaw:  39.44| 
Roll:  93.86, Pitch:  20.34, Yaw:  39.41| 
Roll:  93.88, Pitch:  20.36, Yaw:  39.40| 
Roll:  93.91, Pitch:  20.38, Yaw:  39.37| 
Roll:  93.95, Pitch:  20.39, Yaw:  39.35| 
Roll:  93.98, Pitch:  20.40, Yaw:  39.34| 
Roll:  93.99, Pitch:  20.41, Yaw:  39.34| 
Roll:  93.99, Pitch:  20.41, Yaw:  39.34| 
Roll:  93.99, Pitch:  20.43, Yaw:  39.36| 
Roll:  94.00, Pitch:  20.44, Yaw:  39.37| 
Roll:  94.02, Pitch:  20.44, Yaw:  39.39| 
Roll:  94.00, Pitch:  20.44, Yaw:  39.40| 
Roll:  94.00, Pitch:  20.44, Yaw:  39.38| 
Roll:  94.03, Pitch:  20.43, Yaw:  39.40| 
Roll:  94.10, Pitch:  20.40, Yaw:  39.50| 
Roll:  94.21, Pitch:  20.35, Yaw:  39.62| 
Roll:  94.31, Pitch:  20.28, Yaw:  39.81| 
Roll:  94.39, Pitch:  20.21, Yaw:  39.98| 
Roll:  94.46, Pitch:  20.13, Yaw:  40.26| 
Roll:  94.51, Pitch:  20.03, Yaw:  40.62| 
Roll:  94.58, Pitch:  19.93, Yaw:  40.94| 
Roll:  94.68, Pitch:  19.82, Yaw:  41.29| 
Roll:  94.78, Pitch:  19.72, Yaw:  41.71| 
Roll:  94.88, Pitch:  19.63, Yaw:  42.31| 
Roll:  94.98, Pitch:  19.55, Yaw:  43.01| 
Roll:  95.07, Pitch:  19.47, Yaw:  43.81| 
Roll:  95.16, Pitch:  19.38, Yaw:  44.67| 
Roll:  95.25, Pitch:  19.28, Yaw:  45.61| 
Roll:  95.35, Pitch:  19.16, Yaw:  46.59| 
Roll:  95.50, Pitch:  19.04, Yaw:  47.61| 
Roll:  95.70, Pitch:  18.91, Yaw:  48.69| 
Roll:  95.93, Pitch:  18.78, Yaw:  49.82| 
Roll:  96.16, Pitch:  18.66, Yaw:  50.99| 
Roll:  96.31, Pitch:  18.55, Yaw:  52.22| 
Roll:  96.42, Pitch:  18.47, Yaw:  53.46| 
Roll:  96.55, Pitch:  18.38, Yaw:  54.72| 
Roll:  96.70, Pitch:  18.30, Yaw:  55.99| 
Roll:  96.85, Pitch:  18.24, Yaw:  57.25| 
Roll:  97.05, Pitch:  18.18, Yaw:  58.52| 
Roll:  97.21, Pitch:  18.13, Yaw:  59.81| 
Roll:  97.32, Pitch:  18.09, Yaw:  61.09| 
Roll:  97.45, Pitch:  18.07, Yaw:  62.33| 
Roll:  97.63, Pitch:  18.06, Yaw:  63.56| 
